velocity,amplitude
98.96646,-0.072226
98.91838,-0.184752
98.8703,-0.17529
98.82222,-0.204277
98.77415,-0.09625
98.72607,0.154655
98.67799,0.205386
98.62991,0.2844
98.58183,0.311113
98.53376,0.010254
98.48568,-0.111412
98.4376,0.062873
98.38952,0.199106
98.34144,0.127924
98.29337,-0.071661
98.24529,-0.05238
98.19721,0.169235
98.14913,0.214535
98.10105,0.124578
98.05298,0.112854
98.0049,-0.008407
97.95682,-0.254192
97.90874,-0.162407
97.86066,0.108389
97.81259,0.135973
97.76451,0.031524
97.71643,-0.06061
97.66835,-0.110751
97.62027,-0.015362
97.5722,0.158295
97.52412,0.065946
97.47604,0.028423
97.42796,0.279387
97.37988,0.254136
97.33181,-0.007978
97.28373,0.102701
97.23565,0.314958
97.18757,0.166473
97.13949,0.040688
97.09142,0.08366
97.04334,0.024074
96.99526,-0.060621
96.94718,0.018569
96.8991,0.138536
96.85103,0.016296
96.80295,-0.156416
96.75487,0.001316
96.70679,0.074861
96.65871,-0.191553
96.61064,-0.239429
96.56256,-0.002396
96.51448,0.174638
96.4664,0.290105
96.41832,0.301655
96.37025,0.232499
96.32217,0.212139
96.27409,0.096025
96.22601,-0.103198
96.17793,-0.121134
96.12986,-0.024403
96.08178,-0.051173
96.0337,-0.084383
95.98562,0.154
95.93755,0.232339
95.88947,-0.013786
95.84139,-0.098463
95.79331,-0.16998
95.74523,-0.175318
95.69715,-0.024316
95.64908,0.155829
95.601,0.300553
95.55292,0.216475
95.50484,0.01869
95.45677,-0.082067
95.40869,-0.105877
95.36061,-0.005929
95.31253,0.078412
95.26445,-0.032789
95.21637,-0.022084
95.1683,0.111356
95.12022,0.152588
95.07214,0.183409
95.02406,0.193351
94.97598,0.077604
94.92791,0.05211
94.87983,0.116293
94.83175,0.024093
94.78367,-0.025481
94.7356,0.05046
94.68752,0.029396
94.63944,-0.111697
94.59136,-0.126854
94.54328,-0.026535
94.4952,0.03167
94.44713,0.069065
94.39905,-0.0225
94.35097,-0.107268
94.30289,0.041217
94.25481,0.13491
94.20674,-0.001945
94.15866,-0.120963
94.11058,-0.010791
94.0625,0.250696
94.01443,0.257573
93.96635,0.037076
93.91827,-0.011391
93.87019,0.05466
93.82211,0.128629
93.77403,0.14699
93.72596,0.117469
93.67788,0.235477
93.6298,0.298794
93.58172,0.216114
93.53365,0.169319
93.48557,0.121898
93.43749,0.13021
93.38941,0.214973
93.34133,0.251123
93.29326,0.126544
93.24518,0.039064
93.1971,0.070415
93.14902,-0.048909
93.10094,-0.184755
93.05286,-0.17725
93.00479,-0.1337
92.95671,-0.075451
92.90863,-0.001603
92.86055,0.132428
92.81248,0.222403
92.7644,0.098771
92.71632,-0.057169
92.66824,-0.001258
92.62016,0.053876
92.57209,-0.074062
92.52401,-0.051041
92.47593,0.03686
92.42785,-0.048542
92.37977,-0.093591
92.3317,0.007747
92.28362,0.03944
92.23554,-0.020983
92.18746,0.20432
92.13938,0.475435
92.09131,0.303825
92.04323,-0.104784
91.99515,-0.385986
91.94707,-0.404635
91.89899,-0.230718
91.85092,-0.095243
91.80284,-0.112498
91.75476,-0.205994
91.70668,-0.190641
91.6586,0.033159
91.61053,0.198398
91.56245,0.154942
91.51437,0.153162
91.46629,0.150795
91.41821,-0.08605
91.37014,-0.350394
91.32206,-0.318431
91.27398,-0.113947
91.2259,0.033014
91.17782,0.125635
91.12975,0.204589
91.08167,0.262293
91.03359,0.214813
90.98551,0.218071
90.93743,0.269818
90.88936,0.26073
90.84128,0.262056
90.7932,0.233819
90.74512,0.138608
90.69704,-0.050207
90.64897,-0.092698
90.60089,-0.017237
90.55281,0.020273
90.50473,0.070093
90.45665,0.075863
90.40858,0.07092
90.3605,0.010466
90.31242,0.047171
90.26434,0.165667
90.21626,-0.009673
90.16819,-0.136124
90.12011,-0.076505
90.07203,-0.129141
90.02395,-0.071658
89.97587,0.053848
89.9278,0.074569
89.87972,-0.021446
89.83164,-0.134953
89.78356,-0.0875
89.73548,0.153273
89.68741,0.300428
89.63933,0.206303
89.59125,0.073855
89.54317,-0.117792
89.4951,-0.198126
89.44702,-0.139739
89.39894,-0.079496
89.35086,0.080994
89.30278,0.121799
89.25471,-0.028305
89.20663,-0.024432
89.15855,0.054639
89.11047,0.010651
89.06239,0.077434
89.01431,0.114999
88.96624,-0.034537
88.91816,0.018122
88.87008,0.155596
88.822,0.172235
88.77393,0.137284
88.72585,0.098292
88.67777,0.178129
88.62969,0.198958
88.58161,0.116319
88.53354,0.121343
88.48546,0.112188
88.43738,0.019571
88.3893,-0.016246
88.34122,0.021721
88.29314,0.082872
88.24507,0.085527
88.19699,0.061457
88.14891,0.086054
88.10083,0.072043
88.05276,0.096645
88.00468,0.128683
87.9566,0.026634
87.90852,-0.121211
87.86044,-0.192944
87.81236,-0.174591
87.76429,-0.176313
87.71621,-0.154634
87.66813,-0.06381
87.62005,-0.040762
87.57197,-0.098366
87.5239,-0.050823
87.47582,0.113782
87.42774,0.115142
87.37966,-0.034347
87.33159,-0.192189
87.28351,-0.349966
87.23543,-0.299885
87.18735,-0.142093
87.13927,-0.116867
87.09119,-0.167356
87.04312,-0.216568
86.99504,-0.202631
86.94696,-0.09843
86.89888,0.065654
86.8508,0.0768
86.80273,-0.060878
86.75465,-0.1009
86.70657,-0.109105
86.65849,-0.06209
86.61042,0.184677
86.56234,0.26692
86.51426,0.112388
86.46618,0.127585
86.4181,0.250018
86.37003,0.284797
86.32195,0.365078
86.27387,0.382298
86.22579,0.174704
86.17771,0.069727
86.12964,0.006649
86.08156,-0.067768
86.03348,0.046518
85.9854,0.05696
85.93732,0.008925
85.88925,-0.036648
85.84117,-0.278761
85.79309,-0.271083
85.74501,-0.027783
85.69693,0.030387
85.64886,0.058104
85.60078,0.138957
85.5527,0.193805
85.50462,0.190264
85.45654,0.221431
85.40847,0.164948
85.36039,0.00293
85.31231,-0.002439
85.26423,-0.028735
85.21615,-0.115436
85.16808,-0.001157
85.12,0.258505
85.07192,0.386384
85.02384,0.215589
84.97576,-0.095826
84.92769,-0.229824
84.87961,-0.040622
84.83153,0.16934
84.78345,0.167501
84.73537,0.028618
84.6873,-0.016983
84.63922,0.202679
84.59114,0.165581
84.54306,-0.132579
84.49498,-0.178962
84.44691,-0.164522
